TYPE,AREA,PRICE,PURPOSE,LOCATION,BUILD IN YEAR,BEDROOMS,BATHROOMS,PARKING SPACES
House,2250.0,52500000.0,for sale,"DHA Phase 3 - Block B, DHA Defence Phase 3, DHA Defence, Islamabad, Islamabad Capital",2025,7,7,2
Flat,2812.5,46000000.0,for sale,"F-11, Islamabad, Islamabad Capital",2023,3,3,1
House,18000.0,,for sale,"F-7, Islamabad, Islamabad Capital",2022,7,6,8
House,1507.5,34000000.0,for sale,"I-10/2, I-10, Islamabad, Islamabad Capital",2024,6,6,2
House,5400.0,1000000.0,for rent,"F-7, Islamabad, Islamabad Capital",2010,4,6,4
House,900.0,13500000.0,for sale,"Bani Gala, Islamabad, Islamabad Capital",2023,5,5,1
House,1575.0,60000.0,for rent,"Gulberg Residencia - Block M, Gulberg Residencia, Gulberg, Islamabad, Islamabad Capital",2025,2,3,1
House,4500.0,157500000.0,for sale,"G-11/4, G-11, Islamabad, Islamabad Capital",2013,6,6,4
House,2250.0,39800000.0,for sale,"Top City 1 - Block D, Top City 1, Islamabad, Islamabad Capital",2024,5,5,2
House,4500.0,140000.0,for rent,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,4,4,1
Lower Portion,2700.0,150000.0,for rent,"G-10/4, G-10, Islamabad, Islamabad Capital",2021,3,3,20
Upper Portion,4500.0,145000.0,for rent,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2023,3,4,1
House,5400.0,210000000.0,for sale,"I-8/3, I-8, Islamabad, Islamabad Capital",2000,6,6,3
House,1800.0,38000000.0,for sale,"Faisal Town Phase 1 - Block A, Faisal Town Phase 1, Faisal Town - F-18, Islamabad, Islamabad Capital",2024,4,5,4
House,2250.0,105000000.0,for sale,"D-12, Islamabad, Islamabad Capital",2025,5,6,3
House,2745.0,49500000.0,for sale,"Pakistan Town - Phase 1, Pakistan Town, Islamabad, Islamabad Capital",2024,10,6,2
House,1125.0,12500000.0,for sale,"Bani Gala, Islamabad, Islamabad Capital",2024,2,3,1
Upper Portion,4500.0,80000.0,for rent,"G-15, Islamabad, Islamabad Capital",2024,3,4,1
House,9000.0,199000000.0,for sale,"Naval Anchorage, Islamabad, Islamabad Capital",2024,7,6,2
Flat,2700.0,110000.0,for rent,"Askari Tower 2, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,4,4,1
Flat,2160.0,280000.0,for rent,"F-11/1, F-11, Islamabad, Islamabad Capital",2007,2,2,1
House,3150.0,125000000.0,for sale,"G-10/4, G-10, Islamabad, Islamabad Capital",2025,6,6,3
House,4500.0,230000000.0,for sale,"D-12, Islamabad, Islamabad Capital",2024,5,6,3
House,1125.0,45000.0,for rent,"MPCHS - Multi Gardens, B-17, Islamabad, Islamabad Capital",2023,2,2,1
House,2250.0,44000000.0,for sale,"MPCHS - Block C1, MPCHS - Multi Gardens, B-17, Islamabad, Islamabad Capital",2025,6,6,3
House,5400.0,240000000.0,for sale,"F-6, Islamabad, Islamabad Capital",2024,4,5,4
Upper Portion,2250.0,75000.0,for rent,"G-9/4, G-9, Islamabad, Islamabad Capital",2024,3,2,2
Upper Portion,3150.0,75000.0,for rent,"Jinnah Gardens Phase 1, Jinnah Gardens, FECHS, Islamabad, Islamabad Capital",2024,3,3,1
House,5400.0,450000.0,for rent,"F-7, Islamabad, Islamabad Capital",2011,3,3,5
