TYPE,AREA,PRICE,PURPOSE,LOCATION,BUILD IN YEAR,BEDROOMS,BATHROOMS,PARKING SPACES
Flat,697.5,100000.0,for rent,"Eighteen, Kashmir Highway, Islamabad, Islamabad Capital",2024,1,1,1
House,4500.0,229999.0,for rent,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,6,6,3
Upper Portion,4500.0,260000.0,for rent,"F-11, Islamabad, Islamabad Capital",2015,3,3,1
Flat,787.5,8500000.0,for sale,"Defence Executive Apartments, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2020,1,1,2
House,2250.0,45000000.0,for sale,"Bani Gala, Islamabad, Islamabad Capital",2025,4,5,2
House,990.0000000000001,114999.0,for rent,"D-12/1, D-12, Islamabad, Islamabad Capital",2024,3,4,1
House,2250.0,38000000.0,for sale,"D-17, Islamabad, Islamabad Capital",2023,6,6,2
Upper Portion,9000.0,420000.0,for rent,"F-8/1, F-8, Islamabad, Islamabad Capital",2025,2,2,1
House,4500.0,350000.0,for rent,"Park Road, Islamabad, Islamabad Capital",2024,10,6,2
House,1125.0,13500000.0,for sale,"Ghauri Town Phase 4A, Ghauri Town, Islamabad, Islamabad Capital",2024,2,3,2
House,1125.0,41500000.0,for sale,"G-10/4, G-10, Islamabad, Islamabad Capital",2024,3,3,2
Flat,1440.0,20299999.0,for sale,"Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2022,2,2,1
House,9000.0,340000000.0,for sale,"F-10, Islamabad, Islamabad Capital",2000,6,6,7
House,2250.0,44000000.0,for sale,"Top City 1 - Block A, Top City 1, Islamabad, Islamabad Capital",2024,6,6,2
Upper Portion,1575.0,55000.0,for rent,"Ghauri Town Phase 5B, Ghauri Town, Islamabad, Islamabad Capital",2024,3,3,1
House,4500.0,700000.0,for rent,"D-12, Islamabad, Islamabad Capital",2024,10,6,10
House,3150.0,250000.0,for rent,"G-13, Islamabad, Islamabad Capital",2021,3,3,2
House,5850.0,360000000.0,for sale,"F-7, Islamabad, Islamabad Capital",2009,6,6,6
House,4500.0,125000000.0,for sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,5,6,3
House,2250.0,45000000.0,for sale,"Top City 1, Islamabad, Islamabad Capital",2025,5,6,1
House,2925.0,92500000.0,for sale,"G-9/3, G-9, Islamabad, Islamabad Capital",2024,5,4,2
Lower Portion,1800.0,50000.0,for rent,"G-15, Islamabad, Islamabad Capital",2022,2,3,1
Flat,720.0,5200000.0,for sale,"G-15, Islamabad, Islamabad Capital",2024,2,2,1
Flat,607.5,12000000.0,for sale,"Capital Residencia, Margalla Hills-2, E-11, Islamabad, Islamabad Capital",2024,1,1,1
Flat,900.0,55000.0,for rent,"G-10/2, G-10, Islamabad, Islamabad Capital",2024,2,2,1
House,9000.0,200000000.0,for sale,"Bani Gala, Islamabad, Islamabad Capital",2024,5,6,2
Lower Portion,2700.0,75000.0,for rent,"CBR Town Phase 1, CBR Town, Islamabad, Islamabad Capital",2024,3,4,1
Flat,1642.5,23900000.0,for sale,"Mumtaz City, Islamabad, Islamabad Capital",2024,2,2,1
Flat,2452.5,36600000.0,for sale,"B-17, Islamabad, Islamabad Capital",2024,3,3,1
House,3195.0,72500000.0,for sale,"PWD Housing Society - Block A, PWD Housing Scheme, Islamabad, Islamabad Capital",2024,6,6,2
Flat,2655.0,130000000.0,for sale,"Blue Area, Islamabad, Islamabad Capital",2024,3,3,1
Lower Portion,1125.0,70000.0,for rent,"G-10/4, G-10, Islamabad, Islamabad Capital",2024,2,2,1
House,4500.0,117000000.0,for sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2025,7,6,2
Flat,810.0,12500000.0,for sale,"Mumtaz City, Islamabad, Islamabad Capital",2024,1,1,1
Flat,810.0,4600000.0,for sale,"F-17, Islamabad, Islamabad Capital",2019,2,2,2
Flat,810.0,7000000.0,for sale,"Defence Residency, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2018,2,2,2
Upper Portion,3195.0,130000.0,for rent,"G-9, Islamabad, Islamabad Capital",2024,3,3,1
Upper Portion,4500.0,85000.0,for rent,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,3,4,2
Flat,1642.5,11000000.0,for sale,"G-15, Islamabad, Islamabad Capital",2023,2,2,1
Flat,2700.0,45000000.0,for sale,"Askari Tower 1, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2023,3,3,1
Lower Portion,1800.0,55000.0,for rent,"DHA Defence Phase 3, DHA Defence, Islamabad, Islamabad Capital",2024,2,3,1
Flat,1102.5,10400000.0,for sale,"Top City 1 - Block B, Top City 1, Islamabad, Islamabad Capital",2025,2,2,1
House,2340.0,55000.0,for rent,"Askari Heights 4, DHA Phase 5 - Sector H, DHA Defence Phase 5, DHA Defence, Islamabad, Islamabad Capital",2024,3,4,1
Flat,607.5,45000.0,for rent,"G-16, Islamabad, Islamabad Capital",2024,1,1,1
House,5850.0,450000.0,for rent,"F-7, Islamabad, Islamabad Capital",2024,5,6,2
House,2250.0,51000000.0,for sale,"Bahria Enclave - Sector A, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,5,6,2
House,5850.0,750000.0,for rent,"F-7, Islamabad, Islamabad Capital",2022,4,5,5
House,2250.0,67500000.0,for sale,"DHA Phase 2 - Sector G, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,5,5,2
Upper Portion,1125.0,60000.0,for rent,"I-11, Islamabad, Islamabad Capital",2023,3,2,1
House,900.0,100000.0,for rent,"D-12, Islamabad, Islamabad Capital",2024,4,4,2
House,900.0,6500000.0,for sale,"Burma Town, Islamabad, Islamabad Capital",2024,2,3,2
House,4500.0,300000.0,for rent,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,6,6,3
House,5850.0,290000000.0,for sale,"F-7/4, F-7, Islamabad, Islamabad Capital",2005,6,6,7
Flat,900.0,28000.0,for rent,"Defence Residency, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,2,2,2
Upper Portion,2250.0,66000.0,for rent,"Bahria Enclave - Sector F, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,3,4,1
House,7200.0,300000000.0,for sale,"F-11, Islamabad, Islamabad Capital",2015,10,6,1
House,9000.0,200000000.0,for sale,"DHA Defence Phase 1, DHA Defence, Islamabad, Islamabad Capital",2024,9,6,2
House,900.0,39500000.0,for sale,"D-12/1, D-12, Islamabad, Islamabad Capital",2023,4,4,1
Flat,1507.5,15000000.0,for sale,"Defence Residency, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,3,3,1
Flat,3105.0,200000000.0,for sale,"F-8, Islamabad, Islamabad Capital",2024,4,3,8
House,1125.0,150000.0,for rent,"D-12, Islamabad, Islamabad Capital",2024,4,4,1
Flat,1440.0,60000000.0,for sale,"Silver Oaks Apartments, F-10, Islamabad, Islamabad Capital",2014,2,2,2
House,4500.0,120000000.0,for sale,"DHA Phase 2 - Sector D, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,6,6,2
House,4500.0,150000.0,for rent,"Naval Anchorage, Islamabad, Islamabad Capital",2024,5,5,1
House,2250.0,125000.0,for rent,"Top City 1 - Block D, Top City 1, Islamabad, Islamabad Capital",2020,4,5,5
Flat,1080.0,16500000.0,for sale,"Zarkon Heights, G-15, Islamabad, Islamabad Capital",2024,2,2,1
House,4500.0,1000000.0,for rent,"F-8, Islamabad, Islamabad Capital",2025,4,4,2
House,1350.0,24000000.0,for sale,"H-13, Islamabad, Islamabad Capital",2025,5,5,1
House,4500.0,105000000.0,for sale,"DHA Phase 2 - Sector D, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2023,6,6,3
Flat,1260.0,80000.0,for rent,"River Garden, Islamabad, Islamabad Capital",2023,3,3,5
Flat,855.0,14200000.0,for sale,"Mumtaz City, Islamabad, Islamabad Capital",2024,1,1,1
House,1125.0,18000000.0,for sale,"H-13, Islamabad, Islamabad Capital",2024,6,6,2
House,1125.0,114999.0,for rent,"G-11, Islamabad, Islamabad Capital",2024,3,3,2
Flat,3262.5,40000000.0,for sale,"DHA Defence Phase 5, DHA Defence, Islamabad, Islamabad Capital",2023,4,6,3
Flat,1732.5,35000000.0,for sale,"Skypark One, Gulberg Greens, Gulberg, Islamabad, Islamabad Capital",2024,2,2,1
Lower Portion,3150.0,60000.0,for rent,"F-15/1, F-15, Islamabad, Islamabad Capital",2022,3,4,1
House,1125.0,16500000.0,for sale,"Bani Gala, Islamabad, Islamabad Capital",2024,4,6,1
House,3195.0,65000000.0,for sale,"G-15, Islamabad, Islamabad Capital",2024,8,6,2
House,1125.0,24500000.0,for sale,"Naval Anchorage, Islamabad, Islamabad Capital",2024,4,2,4
Lower Portion,3150.0,135000.0,for rent,"G-11/3, G-11, Islamabad, Islamabad Capital",2024,3,3,1
Flat,1147.5,17300000.0,for sale,"Park View City - Townhouses, Park View - Block J, Park View City, Islamabad, Islamabad Capital",2024,2,2,1
Upper Portion,1507.5,45000.0,for rent,"I-14, Islamabad, Islamabad Capital",2024,3,3,1
House,1507.5,40000000.0,for sale,"I-10/2, I-10, Islamabad, Islamabad Capital",2024,6,6,2
Flat,4500.0,650000.0,for rent,"One Constitution Avenue, Constitution Avenue, Islamabad, Islamabad Capital",2019,4,4,2
House,4500.0,80000000.0,for sale,"DHA Defence Phase 1, DHA Defence, Islamabad, Islamabad Capital",2023,5,6,2
House,1507.5,45000000.0,for sale,"I-11/2, I-11, Islamabad, Islamabad Capital",2020,5,6,1
House,900.0,55000.0,for rent,"G-13, Islamabad, Islamabad Capital",2024,2,2,2
House,1800.0,28500000.0,for sale,"Bahria Enclave - Sector N, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2023,4,5,2
House,900.0,33000000.0,for sale,"G-13/4, G-13, Islamabad, Islamabad Capital",2023,3,3,2
House,9000.0,1200000.0,for rent,"F-10, Islamabad, Islamabad Capital",2015,8,7,5
Upper Portion,1125.0,55000.0,for rent,"I-10, Islamabad, Islamabad Capital",2024,3,2,1
House,2092.5,39000000.0,for sale,"D-17, Islamabad, Islamabad Capital",2024,5,6,2
House,3150.0,66000000.0,for sale,"B-17, Islamabad, Islamabad Capital",2025,6,6,4
House,2475.0,114999.0,for rent,"DHA Phase 1 - Defence Villas, DHA Phase 1 - Sector F, DHA Defence Phase 1, DHA Defence, Islamabad, Islamabad Capital",2018,3,4,2
Upper Portion,2250.0,85000.0,for rent,"G-13, Islamabad, Islamabad Capital",2024,2,3,1
House,5850.0,350000.0,for rent,"F-11, Islamabad, Islamabad Capital",2014,5,4,3
House,1125.0,8200000.0,for sale,"Taramrri, Islamabad, Islamabad Capital",2024,3,3,2
House,1800.0,31700000.0,for sale,"B-17, Islamabad, Islamabad Capital",2022,5,6,2
House,4500.0,75000000.0,for sale,"Soan Garden - Block H, Soan Garden, Islamabad, Islamabad Capital",2024,8,6,3
House,1350.0,59000000.0,for sale,"G-7/4, G-7, Islamabad, Islamabad Capital",2015,6,6,2
House,1125.0,75000.0,for rent,"DHA Phase 5 - Sector F, DHA Defence Phase 5, DHA Defence, Islamabad, Islamabad Capital",2025,3,4,2
Flat,450.0,6500000.0,for sale,"Gulberg Icon 2, Gulberg Greens, Gulberg, Islamabad, Islamabad Capital",2024,1,1,1
House,3195.0,400000.0,for rent,"I-8/2, I-8, Islamabad, Islamabad Capital",2024,10,6,2
Flat,1395.0,160000.0,for rent,"F-10 Markaz, F-10, Islamabad, Islamabad Capital",2023,2,2,2
Flat,1147.5,13400000.0,for sale,"B-17, Islamabad, Islamabad Capital",2024,3,3,1
House,4500.0,100000.0,for rent,"Bani Gala, Islamabad, Islamabad Capital",2023,3,4,6
House,10800.0,1000000.0,for rent,"G-6, Islamabad, Islamabad Capital",2024,10,6,2
House,5850.0,500000.0,for rent,"F-11, Islamabad, Islamabad Capital",2019,5,5,3
Flat,810.0,30000.0,for rent,"Defence Residency, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2021,2,2,2
Lower Portion,1800.0,70000.0,for rent,"D-12, Islamabad, Islamabad Capital",2024,3,3,1
House,2250.0,225000.0,for rent,"G-9/3, G-9, Islamabad, Islamabad Capital",2020,5,5,2
House,1125.0,22500000.0,for sale,"Faisal Town - F-18, Islamabad, Islamabad Capital",2023,4,5,1
House,1125.0,18500000.0,for sale,"Bani Gala, Islamabad, Islamabad Capital",2022,4,6,2
Upper Portion,4500.0,130000.0,for rent,"F-10, Islamabad, Islamabad Capital",2024,3,3,3
House,8100.0,360000000.0,for sale,"F-8, Islamabad, Islamabad Capital",2019,10,6,7
House,18000.0,,for sale,"F-7, Islamabad, Islamabad Capital",1999,4,5,8
House,4500.0,95000000.0,for sale,"Top City 1, Islamabad, Islamabad Capital",2025,7,6,2
House,18000.0,,for sale,"F-6, Islamabad, Islamabad Capital",2010,8,6,15
Flat,810.0,4000000.0,for sale,"Jinnah Gardens, FECHS, Islamabad, Islamabad Capital",2024,2,2,1
Farm House,22500.0,29500000.0,for sale,"Simly Dam Road, Islamabad, Islamabad Capital",2018,2,2,1
House,1125.0,140000.0,for rent,"D-12, Islamabad, Islamabad Capital",2024,4,4,1
Flat,877.5,14000000.0,for sale,"Bahria Enclave - Sector C1, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,2,2,1
Flat,855.0,7500000.0,for sale,"Lignum Tower, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,2,1,1
House,1800.0,38500000.0,for sale,"Faisal Town Phase 1, Faisal Town - F-18, Islamabad, Islamabad Capital",2024,5,6,2
House,1125.0,60000.0,for rent,"Ghauri Town Phase 5B, Ghauri Town, Islamabad, Islamabad Capital",2024,4,4,2
Upper Portion,2250.0,45000.0,for rent,"D-17, Islamabad, Islamabad Capital",2024,3,3,1
Lower Portion,900.0,55000.0,for rent,"G-14/4, G-14, Islamabad, Islamabad Capital",2022,2,3,1
Flat,1440.0,15500000.0,for sale,"Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2023,2,2,1
House,4500.0,82000000.0,for sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2025,6,7,2
House,5850.0,1000000.0,for rent,"F-7, Islamabad, Islamabad Capital",2018,8,9,5
House,1800.0,61000000.0,for sale,"G-13, Islamabad, Islamabad Capital",2024,4,6,2
Flat,382.5,5500000.0,for sale,"Faisal Town - F-18, Islamabad, Islamabad Capital",2024,2,1,1
House,3150.0,400000.0,for rent,"E-11/2, E-11, Islamabad, Islamabad Capital",2017,5,5,2
Flat,2992.5,95000.0,for rent,"Askari Tower 2, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2015,4,5,2
House,2452.5,75000000.0,for sale,"G-13, Islamabad, Islamabad Capital",2024,6,6,3
House,1125.0,21000000.0,for sale,"Airline Avenue, Islamabad, Islamabad Capital",2024,4,5,2
Lower Portion,3150.0,160000.0,for rent,"I-8/3, I-8, Islamabad, Islamabad Capital",2024,3,3,3
House,1125.0,17500000.0,for sale,"MPCHS - Block F, MPCHS - Multi Gardens, B-17, Islamabad, Islamabad Capital",2025,3,4,2
Upper Portion,6300.0,275000.0,for rent,"F-10/2, F-10, Islamabad, Islamabad Capital",2024,3,3,3
Flat,742.5,4500000.0,for sale,"Ghauri Town, Islamabad, Islamabad Capital",2024,2,1,1
Upper Portion,4500.0,130000.0,for rent,"F-10, Islamabad, Islamabad Capital",2024,2,2,2
House,4500.0,210000000.0,for sale,"D-12/4, D-12, Islamabad, Islamabad Capital",2022,9,6,3
Flat,2160.0,30099999.0,for sale,"Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,3,3,2
Upper Portion,4500.0,80000.0,for rent,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2017,3,4,1
House,5850.0,340000000.0,for sale,"F-6, Islamabad, Islamabad Capital",2023,5,6,2
Flat,1755.0,125000.0,for rent,"Warda Hamna Residencia 3, G-11/3, G-11, Islamabad, Islamabad Capital",2024,2,2,1
Flat,540.0,6200000.0,for sale,"Faisal Town - F-18, Islamabad, Islamabad Capital",2024,2,1,1
House,1800.0,67500000.0,for sale,"G-11/3, G-11, Islamabad, Islamabad Capital",2010,5,5,2
Flat,1395.0,45000.0,for rent,"Defence Residency, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2022,3,3,2
House,9450.0,570000000.0,for sale,"E-7, Islamabad, Islamabad Capital",2024,5,6,2
Upper Portion,3150.0,160000.0,for rent,"G-11/1, G-11, Islamabad, Islamabad Capital",2020,3,3,2
Flat,2092.5,160000.0,for rent,"F-11, Islamabad, Islamabad Capital",2024,3,3,1
House,2250.0,81500000.0,for sale,"G-13, Islamabad, Islamabad Capital",2024,6,7,2
Lower Portion,1575.0,125000.0,for rent,"G-11/1, G-11, Islamabad, Islamabad Capital",2020,2,2,1
Flat,1957.4999999999998,500000.0,for rent,"Sukh Chayn Residence, F-10, Islamabad, Islamabad Capital",2024,3,3,1
House,1260.0,23500000.0,for sale,"Mumtaz City - Ravi Block, Mumtaz City, Islamabad, Islamabad Capital",2017,5,6,1
Flat,675.0,60000.0,for rent,"Gulberg Greens, Gulberg, Islamabad, Islamabad Capital",2024,1,1,1
House,900.0,41000000.0,for sale,"G-11/3, G-11, Islamabad, Islamabad Capital",2022,5,2,1
House,21150.0,550000000.0,for sale,"Bani Gala, Islamabad, Islamabad Capital",2024,11,6,10
House,22500.0,2100000.0,for rent,"F-6, Islamabad, Islamabad Capital",2020,7,6,8
Upper Portion,2205.0,85000.0,for rent,"G-13/2, G-13, Islamabad, Islamabad Capital",2024,2,3,1
Flat,945.0,114999.0,for rent,"El Cielo, GT Road, Islamabad, Islamabad Capital",2025,2,2,4
Flat,1597.5,110000.0,for rent,"G-11/3, G-11, Islamabad, Islamabad Capital",2013,2,2,1
Flat,810.0,8000000.0,for sale,"Defence Residency, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,2,2,1
House,4500.0,50000000.0,for sale,"Naval Anchorage, Islamabad, Islamabad Capital",2022,3,4,1
Lower Portion,1800.0,85000.0,for rent,"E-11, Islamabad, Islamabad Capital",2021,2,2,1
Lower Portion,2250.0,70000.0,for rent,"G-14/4, G-14, Islamabad, Islamabad Capital",2024,3,4,1
Lower Portion,1125.0,55000.0,for rent,"G-11/2, G-11, Islamabad, Islamabad Capital",2020,2,2,1
House,2700.0,63000000.0,for sale,"CBR Town Phase 1, CBR Town, Islamabad, Islamabad Capital",2024,6,6,2
House,4500.0,119000000.0,for sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2025,6,6,4
Upper Portion,1575.0,50000.0,for rent,"Gulberg Residencia, Gulberg, Islamabad, Islamabad Capital",2024,2,2,1
Lower Portion,900.0,30000.0,for rent,"Chatha Bakhtawar, Islamabad, Islamabad Capital",2024,2,3,3
House,4500.0,140000000.0,for sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,7,6,3
Flat,922.4999999999999,5800000.0,for sale,"I-16/3, I-16, Islamabad, Islamabad Capital",2024,2,2,1
Flat,2025.0,120000.0,for rent,"G-11, Islamabad, Islamabad Capital",2025,3,3,1
Flat,2790.0,42500000.0,for sale,"F-11, Islamabad, Islamabad Capital",2008,2,3,2
House,1125.0,75000.0,for rent,"DHA Defence Phase 5, DHA Defence, Islamabad, Islamabad Capital",2024,3,4,1
House,1800.0,80000000.0,for sale,"D-12, Islamabad, Islamabad Capital",2024,5,6,2
Flat,1102.5,75000.0,for rent,"Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,2,2,1
Upper Portion,3150.0,140000.0,for rent,"G-14/4, G-14, Islamabad, Islamabad Capital",2021,3,5,1
House,4500.0,89500000.0,for sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2018,5,6,3
Flat,1417.5,48300000.0,for sale,"Eighteen, Kashmir Highway, Islamabad, Islamabad Capital",2024,2,2,1
House,2475.0,122500000.0,for sale,"I-8, Islamabad, Islamabad Capital",2006,5,5,2
Flat,2632.5,145000000.0,for sale,"The Centaurus, F-8, Islamabad, Islamabad Capital",2024,3,3,1
House,4500.0,280000.0,for rent,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2023,8,7,3
House,11250.0,950000000.0,for sale,"E-7, Islamabad, Islamabad Capital",2024,6,6,6
House,4500.0,1027999.0,for rent,"F-7, Islamabad, Islamabad Capital",2024,5,5,3
House,2700.0,130000.0,for rent,"Bani Gala, Islamabad, Islamabad Capital",2024,6,6,2
Flat,1844.9999999999998,14000000.0,for sale,"Islamabad Heights, G-15/4, G-15, Islamabad, Islamabad Capital",2024,2,2,2
Flat,1192.5,40000.0,for rent,"Bani Gala, Islamabad, Islamabad Capital",2022,2,2,1
House,1800.0,30000000.0,for sale,"Bani Gala, Islamabad, Islamabad Capital",2024,4,6,1
House,2700.0,275000.0,for rent,"F-6/2, F-6, Islamabad, Islamabad Capital",2024,3,3,2
House,1372.5,49900000.0,for sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,6,5,1
House,1800.0,33000000.0,for sale,"MPCHS - Block F, MPCHS - Multi Gardens, B-17, Islamabad, Islamabad Capital",2024,5,6,4
Flat,945.0,10500000.0,for sale,"El Cielo, GT Road, Islamabad, Islamabad Capital",2024,2,2,1
Upper Portion,4500.0,78000.0,for rent,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2019,3,4,2
Upper Portion,2250.0,100000.0,for rent,"G-13, Islamabad, Islamabad Capital",2024,3,4,1
House,4500.0,135000000.0,for sale,"DHA Phase 2 - Sector G, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,6,6,2
House,1800.0,185000.0,for rent,"G-11, Islamabad, Islamabad Capital",2020,5,6,2
Flat,1620.0,31500000.0,for sale,"Mall of Imarat, Jinnah Gardens, FECHS, Islamabad, Islamabad Capital",2025,2,3,1
Flat,1440.0,85000.0,for rent,"Gulberg Greens, Gulberg, Islamabad, Islamabad Capital",2024,3,2,2
Lower Portion,4500.0,125000.0,for rent,"E-11/3, E-11, Islamabad, Islamabad Capital",2018,3,4,1
House,900.0,32500000.0,for sale,"G-13, Islamabad, Islamabad Capital",2024,4,5,2
House,2250.0,45000000.0,for sale,"Bahria Enclave - Sector C1, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2023,5,6,3
House,1507.5,31000000.0,for sale,"I-14, Islamabad, Islamabad Capital",2025,5,5,2
House,1125.0,60000000.0,for sale,"G-7/4, G-7, Islamabad, Islamabad Capital",1997,4,4,1
House,2475.0,95000000.0,for sale,"I-8, Islamabad, Islamabad Capital",2024,3,3,2
Flat,585.0,170000.0,for rent,"Sukh Chayn Residence, F-10, Islamabad, Islamabad Capital",2025,1,1,1
Flat,1350.0,85000.0,for rent,"E-11, Islamabad, Islamabad Capital",2022,2,2,1
Upper Portion,1575.0,45000.0,for rent,"Jinnah Gardens Phase 1, Jinnah Gardens, FECHS, Islamabad, Islamabad Capital",2023,2,2,1
House,1507.5,45000000.0,for sale,"I-10/2, I-10, Islamabad, Islamabad Capital",2023,5,5,2
Flat,1192.5,17500000.0,for sale,"E-11, Islamabad, Islamabad Capital",2024,2,2,1
Lower Portion,2250.0,72000.0,for rent,"Bahria Enclave - Sector A, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,2,2,1
Upper Portion,2250.0,60000.0,for rent,"National Police Foundation O-9, Islamabad, Islamabad Capital",2024,3,3,1
House,2250.0,70000000.0,for sale,"DHA Phase 2 - Sector J, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2025,5,6,2
